text|date
🚨 Spoiler alert. Holiday gatherings lead to increased COVID-19 cases. #StayHome https://t.co/2Fng6XupZz|2021-01-10 22:41:36
Grim reality please #StayHome #Covid19UK #SURREY 😢 https://t.co/DYvpokwRzB|2021-01-10 22:40:56
"God bless u our angel 🙏♥️♥️♥️♥️
#StaySafe 
#StayHome https://t.co/Ak7pUY4mfJ"|2021-01-10 22:40:19
The ultimate guide to Australia Hostel Accommodation #StaySafe #StayHome SoloTravel #TravelTips https://t.co/Ajy098U9Np|2021-01-10 22:40:18
#covid19 update #Georgina. 7 new cases today: 2 (4-13) 1 (19-34) 2 (35-44) 1 (66-79) 1 (80+). 6 are in hospital (2 in ICU). Outbreaks at  Prince of Peace Childcare; River Glen Haven,  Cedarvale Lodge,  Community Living Home. 79 new cases in 7 days. #StayHome|2021-01-10 22:39:36
@MattHancock @CMO_England Many new variants emerging;  evolving to destroy; people not adhering to safety measures, it's going to be bad 4 the whole world; covid is out of control, w/more variants seeking to evade destruction,-the more covid adapts to humans; it learns to attach &amp; attack #stayhome #NHS|2021-01-10 22:39:19
"Cases: 90,143,875 (+69,552) 
Deaths: 1,932,053 (+0) 
Recovered: 49,923,251 (+0) 
Active Cases: 40,220,624 (44.62%)
Completed Cases: 51,855,304 (57.53%)
Mortality Rate: 2.14% (No Change)
Case Fatality Rate: 3.73% (No Change)

#COVID19 #Coronavirus #StayHome"|2021-01-10 22:39:03
We rented an Airbnb on the beach for a couple of days. If we are going to #stayhome we might as well have a view! https://t.co/oB4tPEk1x8|2021-01-10 22:38:29
"If you’re going to watch the Covid episode of Casualty, make sure you are in a good mental health space.
Not going to lie as amazing as the acting was it’s not done me any favours. To think it’s far, far worse for the NHS staff in this wave 💔😢#StayHome"|2021-01-10 22:38:04
@MelissaKXLY4 @kxly4news Bonehead, cult member, traitor jerks making life tougher for Americans &amp; law enforcement.  🤦🏻‍♂️.  #RememberToFlossYourTooth, #StayHome, #TakeTheL.|2021-01-10 22:37:40
"This would be a great idea, I hope it follows in Wales and our @ewc_cga registered Informal and non-formal educators (Youth Workers), who support young people in schools and in the community. 

Appreciate more vulnerable groups should be prioritised. #StayHome https://t.co/LjIwnSazp2"|2021-01-10 22:36:20
Please help!! @MattHancock @BorisJohnson  @piersmorgan How do you approach an employer who is willing to ignore the rules. There are too many staff in &amp; this is not minimising the spread! We should be able to stay at home but not supported by our employer!! #StayHome #CovidUK|2021-01-10 22:33:40
Saddened and appalled to see the news report tonight of the need for a temporary mortuary in Surrey. Really brings home just how critical the situation is that we are currently in. #covid #stayhome #staysafe #stopthespread #protecttheNHS|2021-01-10 22:32:08
@ClaireByrneLive So you’re going to ramp up the panic for those people (unlike you for some reason) who due to the movement restrictions can’t visit their loved ones who may be in there receiving general or ICU treatment? More @rte nonsense. #StayHome|2021-01-10 22:31:04
"Tier 4 lockdown, even @BBCNews intro sounds an entertainment 😂

#COVID19 #StayHome https://t.co/hh75LOwusQ"|2021-01-10 22:30:14
Keep being told on the TV that we must stay home!! My employer won’t let us!! As a part of a cleaning team we have 9 cleaners in for 3 classrooms?! How is this minimising the volume people &amp; spread?! Please help?! #CovidUK #COVID19UK #StayHome #StayHomeSaveLives #UKLockdown|2021-01-10 22:29:47
Afternoon Snack, Artichokes with Sardines and Yellow Onions. #food #foodlover #foodlife #foodlifestyle #cooking #cookingathome #cookinglife #passion #artichokes #sardines #stayhome #staysafe https://t.co/JFFBbcyrQf|2021-01-10 22:29:06
You should go because your girlfriend is dead #stayhome #sohappy|2021-01-10 22:28:36
@LadyGuv @McDonaldsUK Well as a NHS worker I do not think it is essential at all 😢. People are being asked to stay home... and they are not. The majority of people in that queue were most likely not buying a coffee. You would think a major brand like Mcds would lead the way. #StayHome|2021-01-10 22:26:43
"@MarkReady47 In noses, throats, lungs. You desperately try to get air into your lungs but fail. You may develop sepsis, you can experience multiple organ failure. It is a terrifying death alone. 

So stay safe my friend #WearAMask #StayHome and think of those around you!"|2021-01-10 22:25:14
"#lockdown 1 - hardly a cat on the road.
Lockdown 2 - Can't really call that farce a Lockdown.
Lockdown 3 - Roads as busy as normal and people still mooching about in shops for something to do 🤷‍♀️
#COVID #lockdownuk #bbcnews #Curfew #StayHome"|2021-01-10 22:25:10
If it’s Spike, it rocks #rum #drinks #StaySafe #StayHome 🤘🍹 https://t.co/FgoIVGLKdv|2021-01-10 22:23:54
#COVID19UK I’m sick of hearing on TV that you got to stay at home that’s ok if your employer lets you I understand that my job as a cleaner can’t be done at home but having 9 of us in at the same time is ridiculous 3 rooms being used where’s the common sense in that! #StayHome|2021-01-10 22:23:32
Really am totally pissed off with the muzzlewit sheeple bleating #StayHome. If your scared, stay in your bunker hugging teddy &amp; storing your urine to drink while those if us with the brains to see through the covid hoax get on with our lives.#NoMasks #endlockdown #NoVaccineForMe|2021-01-10 22:21:38
Lockdown means stay at home, doesn't it? #StayHome #lockdown #COVID19 https://t.co/hme68T2b0Q|2021-01-10 22:21:35
"The already stretched @WesternHSCTrust stepping up to assist their colleagues in @SouthernHSCT 
Years of @Conservatives led/Stormont sanctioned austerity to our @NHSuk has brought our health service to its knees.
Please play your part - #StayHomeSaveLives 

#StayHome 
#StaySafe https://t.co/wByav7DWPS"|2021-01-10 22:21:25
"Good  Monning Himurock😊

Today's My Song！『SUMMER GAME』By【https://t.co/r9taJgFNeE】 https://t.co/LfLoVvrlzq

#氷室京介
#ヒムロック
#氷室さん
#kingswing2021
#stayhome https://t.co/3aiH4asz7b"|2021-01-10 22:21:19
This!!!  👏🏼👏🏼👏🏼❗️❗️  SHUT THE COUNTRY DOWN IF YOU WANT YOUR LIFE BACK!! Stop mixing with your friends, Stop breaking the rules, stop being selfish!! Its honestly not that hard!!  😡  #Covid19UK #COVID #UKLockdown #StayHome #StayHomeSaveLives # https://t.co/RN3oq4LJ0m|2021-01-10 22:20:56
"Late night google search...🔍

I've been told A LOT that I'm a pro spammer in groups so I decided to search &amp; find a solution 🥲

P.S: Joking!😅 Some people can't go outside and talk to friends. Connection is a core human need and ""Chat"" is a way to connect people.🥲

#StayHome https://t.co/ie52awbLGG"|2021-01-10 22:20:32
"Statement From Secretary Of State For Health And Social Care, Matt Hancock On Testing And Vaccinations #covid #coronavirus #stayhome #protecttheNHS #savelives
https://t.co/I0jtE5eik7"|2021-01-10 22:20:03
"Statement From Secretary Of State For Health And Social Care, Matt Hancock On Testing And Vaccinations #covid #coronavirus #stayhome #protecttheNHS #savelives
https://t.co/NLsNPa27RF"|2021-01-10 22:20:01
"@BBCBreakfast @mrdanwalker A lot of airtime given to the fined '2 Derbyshire walkers', but no mention of the morons from MCR who got stranded in ""Peaks' looking for a crashed WWII B52 in a snow storm and needed rescuing. #StayHome #puttinglivesatrisk"|2021-01-10 22:19:54
"Awful.

Please , unless you really need to go out, #StayHome https://t.co/cP2BqfScwB"|2021-01-10 22:19:23
"@BBCBreakfast @BBCNews A lot of airtime given to the fined '2 Derbyshire walkers', but no mention of the morons from MCR who got stranded in ""Peaks' looking for a crashed WWII B52 in a snow storm and needed rescuing. #StayHome #puttinglivesatrisk"|2021-01-10 22:19:08
